2025-08-23 13:07:40,111 INFO: Discovered station-like nodes: 0
2025-08-23 13:07:48,660 INFO: Discovered station-like nodes: 0
2025-08-23 13:10:14,251 INFO: Root tag after strip: meteorology
2025-08-23 13:10:14,355 INFO: Generic station-like nodes discovered: 1153
2025-08-23 13:10:14,359 INFO: Station parsed: name=35.072153, lat=35.072153, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,359 INFO: Station parsed: name=32.774028, lat=None, lon=32.774028, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,359 INFO: Station parsed: name=KANNAVIOU, lat=34.9297861, lon=32.5859667, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,359 INFO: Station parsed: name=KANNAVIOU, lat=None, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,359 INFO: Station parsed: name=34.9297861, lat=34.9297861, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,359 INFO: Station parsed: name=32.5859667, lat=None, lon=32.5859667, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,359 INFO: Station parsed: name=KATHIKAS, lat=34.9140972, lon=32.4123139, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,359 INFO: Station parsed: name=KATHIKAS, lat=None, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,359 INFO: Station parsed: name=34.9140972, lat=34.9140972, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,359 INFO: Station parsed: name=32.4123139, lat=None, lon=32.4123139, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,359 INFO: Station parsed: name=KEPNIC, lat=35.1523889, lon=33.3122806, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,359 INFO: Station parsed: name=KEPNIC, lat=None, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,359 INFO: Station parsed: name=35.1523889, lat=35.1523889, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,359 INFO: Station parsed: name=33.3122806, lat=None, lon=33.3122806, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,359 INFO: Station parsed: name=KILANI, lat=34.843888, lon=32.844472, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,359 INFO: Station parsed: name=KILANI, lat=None, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,360 INFO: Station parsed: name=34.843888, lat=34.843888, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,360 INFO: Station parsed: name=32.844472, lat=None, lon=32.844472, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,360 INFO: Station parsed: name=KORNOS, lat=34.913122, lon=33.402211, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,360 INFO: Station parsed: name=KORNOS, lat=None, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,360 INFO: Station parsed: name=34.913122, lat=34.913122, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,360 INFO: Station parsed: name=33.402211, lat=None, lon=33.402211, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,360 INFO: Station parsed: name=KOURIS, lat=34.7229111, lon=32.9224361, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,360 INFO: Station parsed: name=KOURIS, lat=None, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,360 INFO: Station parsed: name=34.7229111, lat=34.7229111, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,360 INFO: Station parsed: name=32.9224361, lat=None, lon=32.9224361, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,360 INFO: Station parsed: name=KPYRGOS, lat=35.1815639, lon=32.6870972, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,360 INFO: Station parsed: name=KPYRGOS, lat=None, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,360 INFO: Station parsed: name=35.1815639, lat=35.1815639, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,360 INFO: Station parsed: name=32.6870972, lat=None, lon=32.6870972, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,360 INFO: Station parsed: name=KYPEROUNTA, lat=34.9491667, lon=32.9825, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,360 INFO: Station parsed: name=KYPEROUNTA, lat=None, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,360 INFO: Station parsed: name=34.9491667, lat=34.9491667, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,360 INFO: Station parsed: name=32.9825000, lat=None, lon=32.9825, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,360 INFO: Station parsed: name=LCLK, lat=34.873476, lon=33.617338, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,360 INFO: Station parsed: name=LCLK, lat=None, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,361 INFO: Station parsed: name=34.873476, lat=34.873476, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,361 INFO: Station parsed: name=33.617338, lat=None, lon=33.617338, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,361 INFO: Station parsed: name=LCPH, lat=34.715442, lon=32.479072, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,361 INFO: Station parsed: name=LCPH, lat=None, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,361 INFO: Station parsed: name=34.715442, lat=34.715442, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,361 INFO: Station parsed: name=32.479072, lat=None, lon=32.479072, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,361 INFO: Station parsed: name=LEFKARA, lat=34.895842, lon=33.292878, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,361 INFO: Station parsed: name=LEFKARA, lat=None, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,361 INFO: Station parsed: name=34.895842, lat=34.895842, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,361 INFO: Station parsed: name=33.292878, lat=None, lon=33.292878, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,361 INFO: Station parsed: name=LEFKOSIA, lat=35.1643667, lon=33.3560722, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,361 INFO: Station parsed: name=LEFKOSIA, lat=None, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,361 INFO: Station parsed: name=35.1643667, lat=35.1643667, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,361 INFO: Station parsed: name=33.3560722, lat=None, lon=33.3560722, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,361 INFO: Station parsed: name=LIMASSOL, lat=34.645719, lon=33.003984, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,361 INFO: Station parsed: name=LIMASSOL, lat=None, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,361 INFO: Station parsed: name=34.645719, lat=34.645719, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,361 INFO: Station parsed: name=33.003984, lat=None, lon=33.003984, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,361 INFO: Station parsed: name=LINOU, lat=35.067777, lon=32.898208, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,361 INFO: Station parsed: name=LINOU, lat=None, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,361 INFO: Station parsed: name=35.067777, lat=35.067777, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,362 INFO: Station parsed: name=32.898208, lat=None, lon=32.898208, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,362 INFO: Station parsed: name=LYSOS, lat=35.011868, lon=32.528019, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,362 INFO: Station parsed: name=LYSOS, lat=None, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,362 INFO: Station parsed: name=35.011868, lat=35.011868, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,362 INFO: Station parsed: name=32.528019, lat=None, lon=32.528019, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,362 INFO: Station parsed: name=MALLIA, lat=34.8158556, lon=32.785175, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,362 INFO: Station parsed: name=MALLIA, lat=None, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,362 INFO: Station parsed: name=34.8158556, lat=34.8158556, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,362 INFO: Station parsed: name=32.7851750, lat=None, lon=32.785175, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,362 INFO: Station parsed: name=MAMMARI, lat=35.172358, lon=33.2148785, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,362 INFO: Station parsed: name=MAMMARI, lat=None, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,362 INFO: Station parsed: name=35.1723580, lat=35.172358, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,362 INFO: Station parsed: name=33.2148785, lat=None, lon=33.2148785, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,362 INFO: Station parsed: name=MATHIATIS, lat=34.9611, lon=33.331, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,362 INFO: Station parsed: name=MATHIATIS, lat=None, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,362 INFO: Station parsed: name=34.9611, lat=34.9611, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,362 INFO: Station parsed: name=33.3310, lat=None, lon=33.331, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,362 INFO: Station parsed: name=PANAGIA_BRIDGE, lat=35.0176028, lon=33.0823778, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,362 INFO: Station parsed: name=PANAGIA_BRIDGE, lat=None, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,362 INFO: Station parsed: name=35.0176028, lat=35.0176028, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,362 INFO: Station parsed: name=33.0823778, lat=None, lon=33.0823778, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,363 INFO: Station parsed: name=PAPHOS, lat=34.7794306, lon=32.4385472, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,363 INFO: Station parsed: name=PAPHOS, lat=None, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,363 INFO: Station parsed: name=34.7794306, lat=34.7794306, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,363 INFO: Station parsed: name=32.4385472, lat=None, lon=32.4385472, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,363 INFO: Station parsed: name=PAREKLISIA, lat=34.7388351, lon=33.1590222, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,363 INFO: Station parsed: name=PAREKLISIA, lat=None, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,363 INFO: Station parsed: name=34.7388351, lat=34.7388351, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,363 INFO: Station parsed: name=33.1590222, lat=None, lon=33.1590222, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,363 INFO: Station parsed: name=PENTAKOMO, lat=34.707635, lon=33.261697, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,363 INFO: Station parsed: name=PENTAKOMO, lat=None, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,363 INFO: Station parsed: name=34.707635, lat=34.707635, lon=None, temp=None, rh=None, wind_mps=None
