key,lat,lon,FFMC,DMC,DC,ISI,BUI,FWI
"34.70764,33.26170",34.70764,33.2617,85.16551452127915,6.01358001788,29.72,3.8523589528456856,7.986941842805017,3.0734474294722025
"34.94778,32.92582",34.94778,32.92582,85.84453877777547,6.02018216096,27.38,2.5476856009563473,7.76954128793298,1.632593610513588
"35.04195,32.43723",35.04195,32.43723,85.3554775053805,6.01520681236,29.756,2.558945397355276,7.991625032205708,1.6803122568630404
"34.94991,32.83060",34.94991,32.8306,87.17286870801456,6.02801059328,28.244,3.4276509864817606,7.861431735182116,2.623747334475719
"35.14154,32.61632",35.14154,32.61632,84.45834894936982,6.00936439056,28.387999999999998,6.768547190866826,7.859400672423845,5.638242205625655
"35.01729,33.24918",35.01729,33.24918,84.55357099521181,6.0075972128,28.892,2.09345216601313,7.905605711801868,0.9735534467214437
"34.67696,33.03755",34.67696,33.03755,85.3009339336889,6.01478772698,29.503999999999998,2.4491895347411217,7.96840750465361,1.5371955923787912
"34.98935,32.68176",34.98935,32.68176,86.79935134882435,6.02480861582,27.704,3.552398064780716,7.805790292115927,2.7415604663313093
"34.92454,32.88150",34.92454,32.8815,86.11459549470986,6.02082833694,26.984,2.694543659977909,7.729839091937554,1.8040795589277137
"35.14448,33.40339",35.14448,33.40339,85.24770606098004,6.01427780536,30.188000000000002,3.3822682271770073,8.029375765590055,2.6049196866530284
"35.01409,33.04920",35.01409,33.0492,85.08004633050616,6.0163505232,28.532,2.7666292543578574,7.879145361196956,1.9110169738378997
"34.97781,33.83799",34.97781,33.83799,85.2301406858404,6.01410232626,29.72,2.9609403525939166,7.987402501404608,2.147077598344477
"34.74133,33.32710",34.74133,33.3271,84.73400284417313,6.00958115886,28.567999999999998,2.1847858012630605,7.876761793238718,1.1079681282905813
